Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Rice flakes,1 cup,30,115,2,0,0,0.1,26,Breakfast
Rice polish,1/2 cup,50,132,6,6,0,1.2,28,Breakfast
Rolls,1 large,50,411,3,12,11,0.1,23,Breakfast
of refined flour,1,38,115,3,2,2,0,20,Breakfast
whole-wheat,1,40,102,4,1,0,0.1,20,Breakfast
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.50,35,Breakfast
with tomatoes and cheese,1 cup,250,210,6,5,3,0.50,36,Breakfast
Spanish rice,1 cup,250,217,4,4,0,1.20,40,Breakfast
Shredded wheat biscuit,1,28,100,3,1,0,0.70,23,Breakfast
Waffles,1,75,240,8,9,1,0.10,30,Breakfast
Wheat germ,1 cup,68,245,17,7,3,2.50,34,Breakfast
Wheat-germ cereal toasted,1 cup,65,260,20,7,3,2.50,36,Breakfast
Wheat meal cereal unrefined,3/4 cup,30,103,4,1,0,0.70,25,Breakfast
"Wheat, cooked",3/4 cup,200,275,12,1,0,4.40,35,Breakfast
Bean soups,1 cup,250,190,8,5,4,0.60,30,Breakfast
Beef soup,1 cup,250,100,6,4,4,0.50,11,Breakfast
Bouillon,1 cup,240,24,5,0,0,0,0,Breakfast
chicken soup,1 cup,250,75,4,2,2,0,10,Breakfast
Clam chowder,1 cup,255,85,5,2,8,0.50,12,Breakfast
Cream soups,1 cup,255,200,7,12,11,1.20,18,Breakfast
Noodle,1 cup,250,115,6,4,3,0.20,13,Breakfast
Split-pea soup,1 cup,250,147,8,3,3,0.50,25,Breakfast
Tomato soup,1 cup,245,175,6,7,6,0.50,22,Breakfast
Vegetable,1 cup,250,80,4,2,2,0,14,Breakfast
Apple betty,1 serving,100,150,1,4,0,0.5,29,Dinner
Bread pudding,3/4 cup,200,374,11,12,11,0.20,56,Dinner
Cakes,1 slice,40,110,3,0,0,0,23,Dinner
Chocolate fudge,1 slice,120,420,5,14,12,0.3,70,Dinner
Cupcake,1,50,160,3,3,2,0,31,Dinner
Fruit cake,1 slice,30,105,2,4,3,0.2,17,Dinner
Gingerbread,1 slice,55,180,2,7,6,0,28,Dinner
"Plain, with no icing",1 slice,55,180,4,5,4,0,31,Dinner
Sponge cake,1 slice,40,115,3,2,2,0,22,Dinner
Candy,5,25,104,0,3,3,0,19,Dinner
Chocolate creams,2,30,130,0,4,4,0,24,Dinner
Fudge,2 pieces,90,370,0,12,11,0.1,80,Dinner
Hard candies,1 oz.,28,90,0,0,0,0,28,Dinner
Marshmallows,5,30,98,1,0,0,0,23,Dinner
Milk chocolate,2-oz. bar,56,290,2,6,6,0.2,44,Dinner
Chocolate syrup,2 T.,40,80,0,0,0,0,22,Dinner
Doughnuts,1,33,135,2,7,4,0,17,Dinner
"Gelatin, made with water",1 cup,239,155,4,0,0,0,36,Dinner
Honey,2 T.,42,120,0,0,0,0,30,Lunch
Ice cream,2 cups,300,250,0,0,12,10,0,Dinner
Ices,1 cup,150,117,0,0,0,0,48,Dinner
preserves,1 T.,20,55,0,0,0,0,14,Lunch
Jellies,1 T.,20,50,0,0,0,0,13,Lunch
Molasses,1 T.,20,45,0,0,0,8,11,Lunch
Cane Syrup,1 T.,20,50,0,0,0,0,13,Lunch
"9"" diam. pie",1 slice,135,330,3,13,11,0.1,53,Dinner
Cherry Pie,1 slice,135,340,3,13,11,0.1,55,Dinner
Custard,1 slice,130,265,7,11,10,0,34,Dinner
Lemon meringue,1 slice,120,300,4,12,10,0.1,45,Dinner
Mince,1 slice,135,340,3,9,8,0.70,62,Dinner
Pumpkin Pie,1 slice,130,265,5,12,11,8,34,Dinner
Puddings Sugar,1 cup,200,770,0,0,0,0,199,Dinner
3 teaspoons sugar,1 T.,12,50,0,0,0,0,12,Dinner
"Brown, firm-packed, dark sugar",1 cup,220,815,0,0,0,0,210,Lunch
Syrup,2 T.,40,100,0,0,0,0,25,Lunch
table blends sugar,2 T.,40,110,0,0,0,0,29,Lunch
Tapioca cream pudding,1 cup,250,335,10,10,9,0,42,Dinner
Almonds,1/2 cup,70,425,13,38,28,1.8,13,Lunch
roasted and salted,1/2 cup,70,439,13,40,31,1.8,13,Lunch
Brazil nuts,1/2 cup,70,457,10,47,31,2,7,Lunch
Cashews,1/2 cup,70,392,12,32,28,0.9,20,Lunch
coconut sweetened,1/2 cup,50,274,1,20,19,2,26,Lunch
Peanut butter,1/3 cup,50,300,12,25,17,0.9,9,Lunch
"Peanut butter, natural",1/3 cup,50,284,13,24,10,0.9,8,Lunch
Peanuts,1/3 cup,50,290,13,25,16,1.2,9,Lunch
Pecans,1/2 cup,52,343,5,35,25,1.1,7,Lunch
Sesame seeds,1/2 cup,50,280,9,24,13,3.1,10,Lunch
Sunflower seeds,1/2 cup,50,280,12,26,7,1.9,10,Lunch
Walnuts,1/2 cup,50,325,7,32,7,1,8,Lunch
Beer,2 cups,480,228,0,0,0,0,8,Dinner
Gin,1 oz.,28,70,0,0,0,0,0,Dinner
Wines,1/2 cup,120,164,0,0,0,0,9,Dinner
Table (12.2% alcohol),1/2 cup,120,100,0,0,0,0,5,Dinner
Carbonated drinks Artificially sweetened,12 oz.,346,0,0,0,0,0,0,Dinner
Club soda,12 oz.,346,0,0,0,0,0,0,Dinner
Cola drinks,12 oz.,346,137,0,0,0,0,38,Dinner
Fruit-flavored soda,12 oz.,346,161,0,0,0,0,42,Dinner
Ginger ale,12 oz.,346,105,0,0,0,0,28,Dinner
Root beer,12 oz.,346,140,0,0,0,0,35,Dinner
Coffee,1 cup,230,3,0,0,0,0,1,Dinner
Tea,1 cup,230,4,0,0,0,0,1,Dinner
